car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,sale_price
maruti,2015,petrol,8063,noida,hatchback,manual,2,404177,386399
maruti,2016,petrol,23104,noida,hatchback,manual,1,354313,265499
hyundai,2017,petrol,23402,noida,hatchback,manual,1,,477699
maruti,2013,diesel,39124,noida,hatchback,manual,1,374326,307999
hyundai,2015,petrol,22116,noida,hatchback,manual,1,367216,361499
maruti,2018,petrol,23534,noida,hatchback,,1,439056,335299
maruti,2012,diesel,41213,noida,hatchback,manual,1,,281999
hyundai,2012,petrol,38328,noida,hatchback,manual,3,410764,321499
hyundai,2014,diesel,56402,noida,hatchback,manual,1,566123,456199
renault,2018,petrol,32703,noida,hatchback,manual,1,344127,281299
maruti,2014,petrol,53180,noida,hatchback,manual,1,207105,206899
hyundai,2008,petrol,44219,noida,hatchback,manual,1,,194699
hyundai,2012,diesel,55764,noida,hatchback,manual,2,356231,287999
honda,2012,petrol,58581,noida,hatchback,manual,1,307559,235699
hyundai,2011,petrol,49761,noida,hatchback,manual,1,,207499
honda,2010,petrol,63808,noida,sedan,manual,1,364648,304199
hyundai,2011,petrol,70126,noida,hatchback,manual,1,284836,217599
hyundai,2013,petrol,49817,noida,hatchback,manual,1,,216899
maruti,2015,diesel,62806,noida,hatchback,manual,1,515526,396499
honda,2015,petrol,58396,noida,hatchback,manual,2,405581,347399
hyundai,2014,petrol,59559,noida,hatchback,manual,1,272348,209799
hyundai,2012,diesel,68355,noida,sedan,manual,1,467580,398799
maruti,2010,petrol,82078,noida,hatchback,manual,1,257586,207099
maruti,2013,diesel,66350,noida,hatchback,manual,1,,318399
maruti,2010,petrol,56231,noida,hatchback,manual,2,,180999
hyundai,2010,petrol,72985,noida,hatchback,manual,1,,227699
hyundai,2009,petrol,79244,noida,hatchback,manual,1,177150,164899
maruti,2014,petrol,71876,noida,hatchback,manual,1,480698,389699
maruti,2011,petrol,90479,noida,sedan,manual,1,282096,224299
ford,2013,diesel,66940,noida,suv,manual,1,472084,397199
maruti,2013,diesel,80394,noida,sedan,manual,1,408992,332499
maruti,2012,diesel,77954,noida,sedan,manual,2,369669,306899
nissan,2012,petrol,82364,noida,sedan,manual,1,332102,287099
hyundai,2014,diesel,66743,noida,sedan,manual,1,,276299
maruti,2012,diesel,114402,noida,hatchback,manual,1,,228699
hyundai,2012,diesel,83767,noida,hatchback,manual,1,330021,244399
toyota,2012,diesel,87914,noida,hatchback,manual,1,348764,266299
maruti,2013,diesel,74429,noida,hatchback,manual,2,365244,314499
maruti,2014,diesel,81137,noida,hatchback,manual,2,458804,381299
hyundai,2012,diesel,85689,noida,hatchback,manual,1,377619,302299
hyundai,2011,petrol,139038,noida,hatchback,manual,1,,165499
hyundai,2013,petrol,82328,noida,hatchback,manual,1,,364399
hyundai,2015,diesel,87238,noida,sedan,manual,1,680558,542699
maruti,2010,petrol,95236,noida,sedan,manual,2,265671,202499
maruti,2012,petrol,92532,noida,hatchback,manual,1,,215599
maruti,2016,petrol & cng,104962,noida,hatchback,manual,1,366773,326499
maruti,2016,diesel,88453,noida,hatchback,manual,1,703554,545799
maruti,2013,diesel,77823,noida,sedan,manual,1,,390699
maruti,2013,diesel,82016,noida,sedan,manual,2,353776,274399
hyundai,2012,diesel,112314,noida,hatchback,manual,1,,294799
maruti,2013,diesel,96826,noida,sedan,manual,1,446284,352799
maruti,2015,diesel,91280,noida,hatchback,manual,1,,405399
maruti,2015,diesel,92527,noida,hatchback,manual,1,467250,372899
hyundai,2013,diesel,81971,noida,luxury sedan,manual,1,662351,604299
hyundai,2012,diesel,118130,noida,hatchback,manual,3,277540,243299
maruti,2014,diesel,124969,noida,hatchback,manual,1,486770,367999
maruti,2011,diesel,133175,noida,hatchback,manual,1,330743,289199
maruti,2013,diesel,110484,noida,sedan,manual,1,401404,391499
honda,2014,petrol,78097,noida,sedan,manual,2,398236,337799
maruti,2012,diesel,100995,noida,hatchback,manual,1,304629,234399
maruti,2012,diesel,123546,noida,hatchback,manual,1,248620,215699
hyundai,2015,diesel,110531,noida,hatchback,manual,1,527700,420299
hyundai,2018,diesel,78027,noida,suv,automatic,2,1295740,1149984
maruti,2012,diesel,129639,noida,hatchback,manual,1,382854,306199
maruti,2009,petrol & cng,118559,noida,hatchback,manual,2,,215299
maruti,2012,diesel,156680,noida,hatchback,manual,1,345903,291399
maruti,2010,petrol & cng,176287,noida,hatchback,manual,1,,219999
honda,2015,diesel,123934,noida,sedan,manual,2,400848,315599
audi,2014,diesel,66027,noida,luxury suv,,1,,1332390
hyundai,2015,diesel,88375,noida,suv,,1,792382,789799
maruti,2012,diesel,180639,noida,sedan,manual,1,,312099
hyundai,2015,diesel,116697,noida,hatchback,manual,1,,536999
maruti,2016,diesel,111613,noida,suv,manual,1,653679,593099
honda,2014,diesel,98992,noida,sedan,manual,1,333904,293999
hyundai,2017,diesel,148526,noida,hatchback,manual,1,639725,514799
toyota,2014,diesel,103033,noida,luxury sedan,manual,1,719426,694599
maruti,2013,diesel,194203,noida,hatchback,manual,1,362578,284099
audi,2014,diesel,90959,noida,luxury suv,,1,1135210,1103827
toyota,2015,diesel,111562,noida,suv,manual,1,1002280,844899
renault,2013,diesel,219642,noida,sedan,manual,1,284657,264299
maruti,2015,petrol,11343,noida,hatchback,manual,1,451448,334899
maruti,2019,petrol & cng,2510,noida,hatchback,manual,1,465496,346599
maruti,2013,petrol,21784,noida,hatchback,manual,2,310189,240199
renault,2019,petrol,4279,noida,hatchback,manual,1,342500,341199
maruti,2019,petrol,11393,noida,sedan,manual,1,682666,516599
maruti,2019,petrol,11221,noida,hatchback,,1,460540,358099
honda,2010,petrol,47405,noida,sedan,manual,1,449780,360799
maruti,2013,petrol,43803,noida,hatchback,manual,1,435703,352799
hyundai,2013,petrol,24955,noida,hatchback,manual,1,269270,226199
maruti,2016,petrol,34451,noida,hatchback,manual,1,330354,259999
renault,2016,petrol,40154,noida,hatchback,manual,1,292706,213999
renault,2016,petrol,37916,noida,hatchback,manual,1,302963,234099
hyundai,2017,petrol,25826,noida,hatchback,,1,509892,488699
hyundai,2017,petrol & cng,38901,noida,hatchback,,1,,462899
maruti,2012,petrol,39131,noida,hatchback,manual,1,275375,232999
renault,2013,diesel,28769,noida,suv,manual,1,544319,454599
maruti,2018,petrol,3212,noida,hatchback,manual,1,,394399
hyundai,2016,petrol,14776,noida,hatchback,manual,1,339745,278199
maruti,2013,diesel,50647,noida,hatchback,manual,2,,349299
hyundai,2019,petrol,21556,noida,hatchback,,1,719548,571299
maruti,2013,petrol,48461,noida,hatchback,manual,1,,370599
maruti,2012,diesel,62476,noida,hatchback,manual,1,428945,317399
tata,2017,diesel,85779,noida,hatchback,manual,2,333899,332399
hyundai,2015,petrol,20087,noida,suv,manual,2,1023449,823499
hyundai,2011,petrol,59431,noida,hatchback,manual,1,262473,223599
toyota,2013,petrol,40911,noida,hatchback,manual,2,349285,294399
maruti,2019,petrol,8326,noida,suv,,1,1105910,897199
hyundai,2011,petrol,71538,noida,hatchback,manual,1,268499,256699
datsun,2016,petrol,28840,noida,hatchback,manual,1,,221399
maruti,2015,petrol,53095,noida,hatchback,manual,1,361544,354999
hyundai,2012,diesel,59922,noida,hatchback,manual,1,297556,276399
honda,2018,petrol,28290,noida,suv,manual,1,917232,709899
maruti,2017,petrol,34205,noida,hatchback,manual,1,535699,509399
maruti,2015,petrol,57972,noida,hatchback,manual,3,470977,369399
maruti,2008,petrol,61909,noida,hatchback,manual,1,236421,203099
mahindra,2012,diesel,49367,noida,luxury suv,manual,3,503313,479899
mahindra,2014,diesel,64950,noida,luxury suv,manual,2,636898,555999
maruti,2010,petrol,61261,noida,sedan,manual,1,265408,232899
honda,2013,diesel,72461,noida,sedan,manual,1,,301399
maruti,2013,diesel,67011,noida,hatchback,manual,1,436632,369299
hyundai,2015,petrol,53171,noida,hatchback,manual,1,560624,480399
hyundai,2017,petrol,93152,noida,hatchback,,1,493700,377799
volkswagen,2011,petrol,59541,noida,hatchback,manual,2,,275099
maruti,2011,petrol,89510,noida,hatchback,manual,1,221714,188399
tata,2016,petrol,55538,noida,hatchback,manual,1,,359399
mahindra,2015,diesel,50968,noida,suv,manual,1,1012190,801099
toyota,2017,diesel,42841,noida,suv,manual,1,1713713,1415109
volkswagen,2013,petrol,65942,noida,hatchback,manual,1,374585,317199
mahindra,2016,diesel,59831,noida,suv,manual,1,,1092313
hyundai,2016,petrol,61582,noida,suv,manual,2,837780,720299
mahindra,2016,diesel,61330,noida,suv,manual,2,1272552,1030804
ford,2012,diesel,58699,noida,hatchback,manual,1,,233099
maruti,2009,petrol,96354,noida,hatchback,manual,2,262687,239299
mitsubishi,2009,petrol,95127,noida,luxury suv,manual,3,331199,307099
hyundai,2014,diesel,81676,noida,sedan,manual,1,643090,520499
hyundai,2014,diesel,84334,noida,sedan,manual,1,608343,510699
volkswagen,2017,diesel,73768,noida,sedan,manual,1,509599,486299
maruti,2010,petrol,65057,noida,hatchback,manual,1,,208999
maruti,2012,petrol,89988,noida,hatchback,manual,2,,206399
maruti,2016,petrol & cng,100780,noida,hatchback,manual,2,,358299
honda,2013,petrol,90659,noida,hatchback,manual,2,281810,251399
hyundai,2013,petrol,79800,noida,hatchback,manual,1,,220699
maruti,2012,petrol,90220,noida,sedan,manual,1,367653,290899
ford,2013,diesel,99113,noida,suv,manual,1,517356,413099
mahindra,2014,diesel,60070,noida,luxury suv,manual,1,824782,699399
nissan,2014,diesel,110471,noida,suv,manual,1,538030,469099
honda,2014,petrol,86304,noida,sedan,manual,1,391854,364599
maruti,2010,petrol,108338,noida,hatchback,manual,1,295036,230799
hyundai,2012,diesel,122256,noida,hatchback,manual,1,355277,299399
toyota,2015,petrol,168109,noida,sedan,manual,1,410291,330899
maruti,2012,diesel,186207,noida,suv,manual,1,493793,440199
volkswagen,2013,diesel,192715,noida,sedan,manual,1,443076,377799
toyota,2014,petrol,134937,noida,luxury sedan,manual,1,910742,751399
audi,2013,diesel,114155,noida,luxury suv,automatic,2,1194051,1072517
hyundai,2016,diesel,124714,noida,suv,,1,987071,818799
audi,2013,diesel,107465,noida,luxury sedan,automatic,2,1532278,1202706
toyota,2013,diesel,154297,noida,luxury suv,automatic,1,1510690,1213917
toyota,2014,diesel,214389,noida,suv,manual,1,,619299
maruti,2015,petrol & cng,158356,noida,hatchback,manual,1,,316399
maruti,2015,petrol,27191,noida,hatchback,manual,1,467108,365799
maruti,2017,petrol,15581,noida,hatchback,manual,1,270886,257699
maruti,2011,petrol,15248,noida,sedan,manual,1,313774,254299
maruti,2018,petrol,17599,noida,hatchback,manual,1,,335199
mahindra,2013,diesel,34861,noida,suv,manual,1,515799,506799
maruti,2019,petrol,9218,noida,hatchback,manual,1,585975,568299
hyundai,2019,petrol,7794,noida,hatchback,manual,1,521330,513399
datsun,2018,petrol,14537,noida,hatchback,,1,360996,277899
maruti,2013,diesel,45994,noida,hatchback,manual,1,413218,356099
