,car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
0,7,2012,2,69029,pune,1.0,0.0,3,365029.0,2,364299
1,8,2013,2,45721,gurgaon,0.0,0.0,1,,2,216799
2,9,2013,4,37395,pune,1.0,0.0,1,,2,387399
3,8,2012,2,37652,bengaluru,0.0,0.0,3,,2,364699
4,8,2017,4,53648,lucknow,2.0,1.0,1,1125840.0,2,1082011
5,6,2016,2,55724,bengaluru,2.0,0.0,1,,2,695999
6,8,2010,2,59295,chennai,0.0,0.0,2,286499.0,2,286399
7,7,2014,2,50294,bengaluru,0.0,0.0,1,349654.0,2,283299
8,7,2018,1,54422,new delhi,2.0,0.0,2,,2,346399
9,7,2013,2,116848,bengaluru,0.0,0.0,1,263694.0,2,205299
10,8,2019,2,5450,mumbai,2.0,,1,,2,1211594
11,15,2015,4,85560,faridabad,4.0,0.0,2,717030.0,2,715299
12,7,2015,2,43743,bengaluru,0.0,0.0,2,591000.0,2,499099
13,7,2012,4,72428,new delhi,0.0,0.0,1,278806.0,2,203899
14,8,2014,2,26839,new delhi,0.0,0.0,1,,2,224999
15,16,2009,2,246967,mumbai,3.0,,2,,2,307999
16,8,2008,2,71758,mumbai,0.0,0.0,1,163699.0,2,157399
17,8,2012,2,41632,hyderabad,0.0,1.0,1,466946.0,2,383999
18,9,2015,2,121587,hyderabad,1.0,0.0,1,755875.0,2,620299
19,7,2011,2,26173,ghaziabad,0.0,0.0,2,,2,188399
20,7,2015,4,61537,ahmedabad,,,1,,2,450000
21,7,2010,2,29699,mumbai,0.0,0.0,1,241838.0,2,210099
22,8,2019,2,31118,ahmedabad,2.0,,1,1345100.0,2,1155236
23,8,2008,2,20719,bengaluru,0.0,0.0,1,,2,242299
24,8,2012,2,11420,pune,0.0,0.0,2,,2,270799
25,8,2011,2,82120,hyderabad,0.0,0.0,1,470953.0,2,387899
26,7,2012,4,92029,mumbai,1.0,0.0,2,,2,417399
27,7,2019,2,7723,pune,1.0,0.0,1,,2,651999
28,12,2011,2,50372,mumbai,0.0,0.0,2,305199.0,2,305099
29,15,2014,4,156184,mumbai,2.0,0.0,1,,2,830699
30,7,2013,4,59531,bengaluru,1.0,0.0,1,624990.0,2,504899
31,10,2010,2,9278,bengaluru,0.0,0.0,1,96899.0,2,89099
32,7,2016,4,25881,ahmedabad,2.0,0.0,1,945633.0,2,802199
33,21,2017,4,25491,mumbai,4.0,0.0,2,1390061.0,2,1389758
34,6,2019,2,1222,mumbai,0.0,0.0,1,,2,397799
35,9,2011,2,80062,pune,1.0,1.0,1,399799.0,2,394099
36,7,2017,2,76112,mumbai,0.0,,1,,2,564299
37,7,2017,2,29996,hyderabad,0.0,0.0,2,546299.0,2,546199
38,9,2010,2,49945,new delhi,0.0,0.0,1,327902.0,2,288499
