,car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
0,maruti swift,2015,petrol,8063,noida,hatchback,manual,2,404177.0,False,386399
1,maruti alto 800,2016,petrol,23104,noida,hatchback,manual,1,354313.0,False,265499
3,maruti swift,2013,diesel,39124,noida,hatchback,manual,1,374326.0,False,307999
4,hyundai grand i10,2015,petrol,22116,noida,hatchback,manual,1,367216.0,False,361499
7,hyundai i20,2012,petrol,38328,noida,hatchback,manual,3,410764.0,False,321499
8,hyundai elite i20,2014,diesel,56402,noida,hatchback,manual,1,566123.0,False,456199
9,renault kwid,2018,petrol,32703,noida,hatchback,manual,1,344127.0,False,281299
10,maruti alto 800,2014,petrol,53180,noida,hatchback,manual,1,207105.0,False,206899
12,hyundai i20,2012,diesel,55764,noida,hatchback,manual,2,356231.0,False,287999
13,honda brio,2012,petrol,58581,noida,hatchback,manual,1,307559.0,False,235699
15,honda city,2010,petrol,63808,noida,sedan,manual,1,364648.0,False,304199
16,hyundai i10,2011,petrol,70126,noida,hatchback,manual,1,284836.0,False,217599
18,maruti swift,2015,diesel,62806,noida,hatchback,manual,1,515526.0,False,396499
19,honda brio,2015,petrol,58396,noida,hatchback,manual,2,405581.0,False,347399
20,hyundai eon,2014,petrol,59559,noida,hatchback,manual,1,272348.0,False,209799
21,hyundai verna,2012,diesel,68355,noida,sedan,manual,1,467580.0,False,398799
22,maruti ritz,2010,petrol,82078,noida,hatchback,manual,1,257586.0,False,207099
26,hyundai santro xing,2009,petrol,79244,noida,hatchback,manual,1,177150.0,False,164899
27,maruti swift,2014,petrol,71876,noida,hatchback,manual,1,480698.0,False,389699
28,maruti swift dzire,2011,petrol,90479,noida,sedan,manual,1,282096.0,False,224299
29,ford ecosport,2013,diesel,66940,noida,suv,manual,1,472084.0,False,397199
30,maruti swift dzire,2013,diesel,80394,noida,sedan,manual,1,408992.0,False,332499
31,maruti swift dzire,2012,diesel,77954,noida,sedan,manual,2,369669.0,False,306899
32,nissan sunny,2012,petrol,82364,noida,sedan,manual,1,332102.0,False,287099
35,hyundai i20,2012,diesel,83767,noida,hatchback,manual,1,330021.0,False,244399
36,toyota etios liva,2012,diesel,87914,noida,hatchback,manual,1,348764.0,False,266299
37,maruti swift,2013,diesel,74429,noida,hatchback,manual,2,365244.0,False,314499
38,maruti swift,2014,diesel,81137,noida,hatchback,manual,2,458804.0,False,381299
39,hyundai i20,2012,diesel,85689,noida,hatchback,manual,1,377619.0,False,302299
42,hyundai verna,2015,diesel,87238,noida,sedan,manual,1,680558.0,False,542699
43,maruti swift dzire,2010,petrol,95236,noida,sedan,manual,2,265671.0,False,202499
45,maruti celerio,2016,petrol & cng,104962,noida,hatchback,manual,1,366773.0,False,326499
46,maruti baleno,2016,diesel,88453,noida,hatchback,manual,1,703554.0,False,545799
48,maruti swift dzire,2013,diesel,82016,noida,sedan,manual,2,353776.0,False,274399
50,maruti swift dzire,2013,diesel,96826,noida,sedan,manual,1,446284.0,False,352799
52,maruti swift,2015,diesel,92527,noida,hatchback,manual,1,467250.0,False,372899
53,hyundai new elantra,2013,diesel,81971,noida,luxury sedan,manual,1,662351.0,False,604299
54,hyundai i20,2012,diesel,118130,noida,hatchback,manual,3,277540.0,False,243299
55,maruti swift,2014,diesel,124969,noida,hatchback,manual,1,486770.0,False,367999
56,maruti swift,2011,diesel,133175,noida,hatchback,manual,1,330743.0,False,289199
57,maruti swift dzire,2013,diesel,110484,noida,sedan,manual,1,401404.0,False,391499
58,honda amaze,2014,petrol,78097,noida,sedan,manual,2,398236.0,False,337799
59,maruti ritz,2012,diesel,100995,noida,hatchback,manual,1,304629.0,False,234399
60,maruti ritz,2012,diesel,123546,noida,hatchback,manual,1,248620.0,False,215699
61,hyundai elite i20,2015,diesel,110531,noida,hatchback,manual,1,527700.0,False,420299
62,hyundai creta,2018,diesel,78027,noida,suv,automatic,2,1295740.0,False,1149984
63,maruti swift,2012,diesel,129639,noida,hatchback,manual,1,382854.0,False,306199
65,maruti swift,2012,diesel,156680,noida,hatchback,manual,1,345903.0,False,291399
67,honda amaze,2015,diesel,123934,noida,sedan,manual,2,400848.0,False,315599
72,maruti vitara brezza,2016,diesel,111613,noida,suv,manual,1,653679.0,False,593099
73,honda amaze,2014,diesel,98992,noida,sedan,manual,1,333904.0,False,293999
74,hyundai elite i20,2017,diesel,148526,noida,hatchback,manual,1,639725.0,False,514799
75,toyota corolla altis,2014,diesel,103033,noida,luxury sedan,manual,1,719426.0,False,694599
76,maruti swift,2013,diesel,194203,noida,hatchback,manual,1,362578.0,False,284099
78,toyota innova,2015,diesel,111562,noida,suv,manual,1,1002280.0,False,844899
79,renault scala,2013,diesel,219642,noida,sedan,manual,1,284657.0,False,264299
80,maruti wagon r 1.0,2015,petrol,11343,noida,hatchback,manual,1,451448.0,False,334899
81,maruti alto 800,2019,petrol & cng,2510,noida,hatchback,manual,1,465496.0,False,346599
82,maruti alto k10,2013,petrol,21784,noida,hatchback,manual,2,310189.0,False,240199
83,renault kwid,2019,petrol,4279,noida,hatchback,manual,1,342500.0,False,341199
84,maruti dzire,2019,petrol,11393,noida,sedan,manual,1,682666.0,False,516599
86,honda city,2010,petrol,47405,noida,sedan,manual,1,449780.0,False,360799
87,maruti swift,2013,petrol,43803,noida,hatchback,manual,1,435703.0,False,352799
88,hyundai eon,2013,petrol,24955,noida,hatchback,manual,1,269270.0,False,226199
89,maruti alto 800,2016,petrol,34451,noida,hatchback,manual,1,330354.0,False,259999
90,renault kwid,2016,petrol,40154,noida,hatchback,manual,1,292706.0,False,213999
91,renault kwid,2016,petrol,37916,noida,hatchback,manual,1,302963.0,False,234099
94,maruti wagon r 1.0,2012,petrol,39131,noida,hatchback,manual,1,275375.0,False,232999
95,renault duster,2013,diesel,28769,noida,suv,manual,1,544319.0,False,454599
97,hyundai eon,2016,petrol,14776,noida,hatchback,manual,1,339745.0,False,278199
101,maruti swift,2012,diesel,62476,noida,hatchback,manual,1,428945.0,False,317399
102,tata tiago,2017,diesel,85779,noida,hatchback,manual,2,333899.0,False,332399
103,hyundai creta,2015,petrol,20087,noida,suv,manual,2,1023449.0,False,823499
104,hyundai i10,2011,petrol,59431,noida,hatchback,manual,1,262473.0,False,223599
105,toyota etios liva,2013,petrol,40911,noida,hatchback,manual,2,349285.0,False,294399
107,hyundai i20,2011,petrol,71538,noida,hatchback,manual,1,268499.0,False,256699
109,maruti celerio,2015,petrol,53095,noida,hatchback,manual,1,361544.0,False,354999
110,hyundai i20,2012,diesel,59922,noida,hatchback,manual,1,297556.0,False,276399
111,honda wr-v,2018,petrol,28290,noida,suv,manual,1,917232.0,False,709899
112,maruti baleno,2017,petrol,34205,noida,hatchback,manual,1,535699.0,False,509399
113,maruti swift,2015,petrol,57972,noida,hatchback,manual,3,470977.0,False,369399
114,maruti swift,2008,petrol,61909,noida,hatchback,manual,1,236421.0,False,203099
115,mahindra xuv500,2012,diesel,49367,noida,luxury suv,manual,3,503313.0,False,479899
116,mahindra xuv500,2014,diesel,64950,noida,luxury suv,manual,2,636898.0,False,555999
117,maruti sx4,2010,petrol,61261,noida,sedan,manual,1,265408.0,False,232899
